"","No MAP","L-MAP","D-MAP","R-MAP","NA"
"1",29.2476943346509,37.9528421052632,19.5227027027027,73.467007963595,178.691503267974
"2",28.3268365817091,52.4736842105263,NA,NA,221.966292134831
"3",24.9484585741811,NA,NA,NA,93.7499004380725
"4",26.9857142857143,NA,NA,NA,16.5404721753794
"5",22.9667774086379,NA,NA,NA,NA
"6",108.543132108486,NA,NA,NA,NA
"7",60.1036231884058,NA,NA,NA,NA
"8",32.0463258785942,NA,NA,NA,NA
"9",65.3662477558348,NA,NA,NA,NA
"10",180.974675629201,NA,NA,NA,NA
"11",42.009835259405,NA,NA,NA,NA
